iter	Passed	Remaining
579	28776	20838
580	28821	20785
581	28866	20731
582	28907	20676
583	28961	20629
584	29007	20578
585	29054	20526
586	29098	20472
587	29145	20421
588	29197	20373
589	29237	20317
590	29286	20267
591	29328	20212
592	29368	20156
593	29408	20100
594	29448	20044
595	29489	19989
596	29532	19935
597	29574	19880
598	29616	19826
599	29656	19770
600	29699	19717
601	29741	19662
602	29767	19598
603	29810	19544
604	29851	19489
605	29893	19435
606	29935	19381
607	29978	19328
608	30021	19274
609	30071	19225
610	30113	19172
611	30157	19119
612	30210	19072
613	30258	19022
614	30300	18968
615	30345	18916
616	30388	18863
617	30431	18810
618	30473	18756
619	30516	18703
620	30544	18641
621	30587	18588
622	30632	18536
623	30674	18483
624	30720	18432
625	30769	18383
626	30811	18329
627	30853	18276
628	30895	18223
629	30937	18169
630	30979	18116
631	31010	18056
632	31059	18007
633	31103	17955
634	31146	17903
635	31191	17851
636	31237	17800
637	31265	17740
638	31310	17688
639	31353	17636
640	31395	17583
641	31444	17534
642	31487	17482
643	31523	17426
644	31566	17373
645	31609	17321
646	31653	17269
647	31694	17216
648	31736	17164
649	31782	17113
650	31833	17065
651	31882	17017
652	31924	16964
653	31967	16912
654	32009	16859
655	32053	16808
656	32095	16755
657	32139	16704
658	32183	16653
659	32223	16599
660	32267	16548
661	32312	16497
662	32355	16446
663	32397	16393
664	32442	16343
665	32489	16293
666	32532	16241
667	32575	16189
668	32616	16137
669	32658	16085
670	32699	16033
671	32743	15981
672	32788	15931
673	32833	15881
674	32876	15829
675	32921	15778
676	32963	15727
677	33005	15675
678	33056	15627
679	33098	15575
680	33141	15524
681	33186	15473
682	33230	15423
683	33272	15371
684	33314	15319
685	33358	15269
686	33401	15217
687	33445	15167
688	33489	15116
689	33531	15064
690	33574	15013
691	33618	14963
692	33660	14911
693	33705	14861
694	33740	14806
695	33781	14755
696	33824	14704
697	33867	14653
698	33908	14601
699	33951	14550
700	33997	14501
701	34047	14453
702	34144	14425
703	34214	14385
704	34262	14336
705	34304	14285
706	34346	14234
707	34410	14192
708	34474	14149
709	34533	14105
710	34602	14064
711	34646	14014
712	34688	13962
713	34730	13911
714	34772	13860
715	34828	13814
716	34876	13765
717	34922	13716
718	34965	13665
719	35010	13615
720	35061	13567
721	35110	13519
722	35165	13472
723	35212	13423
724	35254	13372
725	35291	13319
726	35344	13272
727	35397	13225
728	35440	13174
729	35498	13129
730	35545	13080
731	35585	13028
732	35619	12974
733	35662	12924
734	35705	12873
735	35756	12825
736	35806	12777
737	35860	12730
738	35907	12681
739	35960	12634
740	36006	12585
741	36049	12534
742	36108	12489
743	36157	12441
744	36200	12390
745	36248	12341
746	36301	12294
747	36354	12247
748	36406	12200
749	36449	12149
750	36497	12101
751	36550	12053
752	36597	12004
753	36640	11954
754	36682	11903
755	36734	11856
756	36787	11808
757	36833	11759
758	36878	11709
759	36919	11658
760	36978	11613
761	37022	11563
762	37092	11521
763	37137	11471
764	37179	11421
765	37222	11370
766	37266	11320
767	37303	11268
768	37358	11221
769	37407	11173
770	37449	11123
771	37509	11077
772	37556	11028
773	37598	10978
774	37640	10927
775	37694	10880
776	37752	10835
777	37806	10787
778	37854	10739
779	37896	10688
780	37945	10640
781	38001	10593
782	38055	10546
783	38104	10498
784	38147	10448
785	38182	10395
786	38234	10347
787	38282	10299
788	38318	10247
789	38362	10197
790	38405	10147
791	38475	10104
792	38528	10057
793	38573	10007
794	38614	9957
795	38655	9906
796	38718	9861
797	38769	9813
798	38818	9765
799	38861	9715
800	38923	9670
801	38982	9624
802	39027	9574
803	39072	9525
804	39133	9479
805	39183	9431
806	39226	9381
807	39270	9331
808	39320	9283
809	39371	9235
810	39417	9186
811	39474	9139
812	39520	9090
813	39562	9040
814	39611	8991
815	39654	8941
816	39701	8892
817	39751	8844
818	39796	8795
819	39843	8746
820	39883	8695
821	39928	8646
822	39971	8596
823	40020	8548
824	40063	8498
825	40115	8450
826	40169	8402
827	40216	8354
828	40260	8304
829	40303	8254
830	40350	8206
831	40406	8158
832	40462	8111
833	40504	8062
834	40546	8012
835	40592	7963
836	40647	7915
837	40707	7869
838	40766	7822
839	40837	7778
840	40878	7728
841	40926	7679
842	40967	7629
843	41020	7581
844	41081	7535
845	41162	7492
846	41219	7445
847	41285	7400
848	41329	7350
849	41393	7304
850	41447	7256
851	41496	7208
852	41566	7163
853	41620	7115
854	41671	7067
855	41722	7018
856	41779	6971
857	41824	6922
858	41870	6872
859	41929	6825
860	41978	6776
861	42045	6731
862	42095	6682
863	42153	6635
864	42210	6587
865	42306	6546
866	42501	6519
867	42653	6486
868	42827	6456
869	42955	6418
870	43166	6393
871	43359	6364
872	43618	6345
873	43794	6313
874	44088	6298
875	44269	6266
876	44436	6232
877	44675	6207
878	44901	6180
879	45096	6149
880	45377	6129
881	45520	6090
882	45613	6043
883	45799	6009
884	45939	5969
885	46051	5925
886	46230	5889
887	46411	5853
888	46615	5820
889	46795	5783
890	46890	5736
891	46988	5689
892	47205	5656
893	47366	5616
894	47544	5577
895	47701	5536
896	47809	5489
897	48001	5452
898	48157	5410
899	48339	5371
900	48431	5321
901	48626	5283
902	48743	5236
903	48881	5190
904	49031	5146
905	49214	5106
906	49354	5060
907	49484	5013
908	49665	4972
909	49833	4928
910	50078	4892
911	50235	4847
912	50414	4804
913	50599	4760
914	50790	4718
915	50897	4667
916	51091	4624
917	51254	4578
